,County,Winners
0,Appling,0
1,Barrow,0
2,Bryan,0
3,Candler,0
4,Chattooga,0
5,Clarke,0
6,Colquitt,0
7,Crawford,0
8,Dodge,0
9,Emanuel,0
10,Fayette,0
11,Gilmer,0
12,Wheeler,0
13,Whitfield,0
14,Wilkinson,0
15,Glascock,0
16,Gordon,0
17,Grady,0
18,Hall,24
19,Jackson,0
20,Jones,0
21,Laurens,0
22,Lumpkin,0
23,Marion,0
24,Miller,0
25,Newton,0
26,Peach,0
27,Polk,0
28,Randolph,0
29,Seminole,0
30,Taliaferro,0
31,Tift,0
32,Troup,0
33,Upson,0
34,Washington,0
35,Heard,0
36,Cobb,22
37,Coffee,0
38,Columbia,0
39,Coweta,0
40,Crisp,0
41,Decatur,0
42,Dooly,0
43,Dougherty,0
44,Echols,0
45,Effingham,0
46,Evans,0
47,Floyd,0
48,Franklin,0
49,Atkinson,0
50,Bacon,0
51,Baldwin,0
52,Bartow,0
53,Bleckley,0
54,Brantley,0
55,Bulloch,5
56,Calhoun,0
57,Charlton,0
58,Chattahoochee,7
59,Cherokee,0
60,Clayton,0
61,Wilkes,0
62,Worth,0
63,Habersham,0
64,Hancock,0
65,Hart,0
66,Irwin,0
67,Jasper,0
68,Jenkins,0
69,Lamar,0
70,Lanier,0
71,Lincoln,0
72,Morgan,0
73,Muscogee,0
74,Quitman,0
75,McIntosh,0
76,Paulding,0
77,Lowndes,0
78,McDuffie,0
79,Madison,0
80,Meriwether,0
81,Mitchell,0
82,Montgomery,0
83,Murray,0
84,Oglethorpe,0
85,Pierce,0
86,Pike,0
87,Pulaski,0
88,Rabun,0
89,Rockdale,0
90,Spalding,0
91,Stephens,0
92,Tattnall,0
93,Taylor,0
94,Thomas,0
95,Toombs,0
96,Towns,0
97,Twiggs,0
98,Walker,0
99,Warren,0
100,Banks,0
101,Berrien,0
102,Brooks,0
103,Burke,0
104,Camden,0
105,Chatham,0
106,Clay,0
107,Baker,0
108,Bibb,2
109,Butts,0
110,Catoosa,0
111,Clinch,0
112,Cook,0
113,Dawson,0
114,Early,0
115,Forsyth,36
116,Webster,0
117,White,0
118,Wilcox,0
119,Dade,0
120,DeKalb,5
121,Douglas,0
122,Elbert,0
123,Fannin,0
124,Fulton,31
125,Glynn,0
126,Greene,0
127,Haralson,0
128,Houston,0
129,Jefferson,0
130,Long,0
131,Macon,0
132,Monroe,0
133,Oconee,2
134,Pickens,0
135,Putnam,0
136,Schley,0
137,Stewart,0
138,Telfair,0
139,Treutlen,0
140,Walton,0
141,Gwinnett,0
142,Harris,0
143,Henry,0
144,Jeff Davis,0
145,Johnson,0
146,Lee,0
147,Liberty,0
148,Turner,0
149,Union,0
150,Ware,0
151,Wayne,0
152,Ben Hill,0
153,Carroll,0
154,Richmond,0
155,Screven,0
156,Sumter,0
157,Talbot,0
158,Terrell,0
